search_types,physical_table,schema_file,category,status,write_policy,registered_classes,purpose,columns,relations,cautions
,access_log,sthpw_schema.sql,audit/internal,internal,read_only_system,,Request/access timing log used by the web/runtime layer.,id;code;url;data;start_time;end_time;duration,url; start_time/end_time/duration,Not a user activity feed; retention may be short and fields are technical.
sthpw/cache,cache,sthpw_schema.sql,audit/internal,internal,read_only_system,pyasm.search.SObject,Small system cache/mtime registry.,id;key;mtime,key -> cached resource,Never use as application data or durable state.
,change_timestamp,sthpw_schema.sql,audit/internal,active internal,read_only_system,,Last-change/index records used to detect modified objects and transactions.,id;code;search_type;search_code;changed_on;changed_by;project_code;transaction_code,search_type+search_code; transaction_code,Do not use as full audit history; it is an invalidation/change-detection structure.
sthpw/clipboard,clipboard,sthpw_schema.sql,user productivity,active optional,class_api,pyasm.biz.Clipboard,Server-side user clipboard entries referencing arbitrary SObjects.,id;project_code;login;search_type;search_id;timestamp;category,login + search_type/search_id,Do not duplicate object data; store only the reference and category.
sthpw/command_log,command_log,sthpw_schema.sql,audit/internal,legacy/internal,read_only_system,pyasm.command.CommandLog,Historical record of executed TACTIC commands.,id;code;class_name;paramaters;login;timestamp,login; class_name; timestamp,Field name paramaters is legacy; do not build new business logic on it.
sthpw/connection,connection,sthpw_schema.sql,relationships,active core,subsystem_api,pyasm.biz.SObjectConnection,Generic directed relationship between two arbitrary SObjects with a context.,id;code;context;project_code;src_search_type;src_search_id;dst_search_type;dst_search_id;login;timestamp,src_search_type/src_search_id -> dst_search_type/dst_search_id; context,Never hand-insert without resolving source/destination identity; modern deployments may add search_code columns.
config/custom_property,custom_property,sthpw_schema.sql,configuration,active config,manager_or_generic,pyasm.biz.CustomProperty,Project-local custom property definitions for a search type.,id;code;search_type;name;description;login,search_type; name,This does not itself add a physical DB column in every workflow; coordinate with search-type/schema tools.
sthpw/db_resource,db_resource,sthpw_schema.sql,bootstrap/meta,active admin,admin_manager,pyasm.search.SObject,Database connection resource used by projects/search types.,id;code;host;port;vendor;login;password,project.db_resource; search_object.database,Contains credentials; never expose password to clients or logs.
sthpw/debug_log,debug_log,sthpw_schema.sql,audit/internal,active internal,append_via_api,pyasm.biz.DebugLog,Application debug log with category and level.,id;code;category;level;message;timestamp;login;s_status,category; level; login,Not a durable activity/audit feed; can be retired/cleaned.
sthpw/department,department,sthpw_schema.sql,organization,optional,generic_sobject,pyasm.search.SObject,Simple department directory.,id;code;name;timestamp,login.department (logical),Keep code stable if referenced from login.department or custom logic.
